property_size_sqft,market_demand_index,construction_cost_usd,location,use_type,roi_percent,risk_score,tax_saving_percent,demand_forecast,material_cost_estimate,land_score_index,investor_score_out_of_100,recommendation_score
3345,0.29,860926,London,Commercial,5.46,0.22,4.16,0.44,129312.99,4.74,70.68,0.71
1139,0.72,367139,New York,Commercial,6.68,0.45,12.22,0.81,154019.66,7.47,68.93,0.06
3379,0.81,638830,San Francisco,Residential,7.85,0.17,5.25,0.52,97992.1,8.05,84.81,0.63
4736,0.94,90651,Toronto,Commercial,10.01,0.27,7.42,0.71,90679.56,7.36,60.72,0.76
4375,0.55,1227815,New York,Mixed-use,8.94,0.3,6.56,0.6,130151.98,9.25,76.29,0.78
3108,0.92,945363,Sydney,Mixed-use,9.04,0.2,13.16,0.5,105328.76,4.47,52.83,0.77
3379,0.9,968544,San Francisco,Mixed-use,5.93,0.26,3.65,0.35,63502.47,1.73,81.12,0.23
1524,0.45,517625,New York,Commercial,8.0,0.28,9.35,0.63,88926.67,0.48,65.18,0.98
3556,0.9,1283954,San Francisco,Industrial,5.2,0.11,3.85,0.82,112214.39,2.46,69.39,1.0
2181,0.5,1278734,San Francisco,Industrial,9.11,0.4,11.16,0.5,121204.72,1.43,64.57,0.08
3924,0.44,1452070,London,Mixed-use,9.88,0.57,13.77,0.61,121949.23,5.58,66.47,0.94
855,0.72,413569,San Francisco,Residential,8.38,0.53,7.65,0.37,170129.91,1.85,54.93,0.29
2438,0.46,576574,London,Industrial,6.08,0.27,8.35,0.5,114809.37,0.39,74.94,0.69
2544,0.7,509852,Toronto,Commercial,6.49,0.53,14.06,0.65,126953.14,0.36,78.32,0.34
609,0.69,524865,London,Industrial,11.52,0.3,8.77,0.71,79352.7,8.32,50.04,0.97
3471,0.65,335948,Sydney,Mixed-use,6.12,0.18,8.34,0.68,119221.61,5.91,61.05,0.1
1397,0.5,941069,New York,Residential,9.62,0.08,9.52,0.3,128354.97,3.58,70.45,0.5
1615,0.64,936626,Toronto,Industrial,7.85,0.26,10.96,0.53,85618.51,8.94,61.02,0.43
2424,0.68,943349,Toronto,Industrial,6.16,0.32,3.39,0.45,96650.2,0.7,66.66,0.33
3736,0.64,144200,Sydney,Mixed-use,3.64,0.13,12.67,0.55,132229.22,9.8,94.24,0.65
2793,0.56,1234424,London,Residential,7.53,0.19,7.66,0.58,106341.84,6.16,54.73,0.13
823,0.21,186022,New York,Residential,7.23,0.3,2.94,0.76,117436.46,1.83,35.32,0.72
4758,0.67,781979,London,Mixed-use,11.52,0.38,12.22,0.64,133519.44,6.79,61.02,0.98
4525,0.33,860741,San Francisco,Commercial,4.85,0.35,6.9,0.81,170921.8,7.63,65.08,0.8
4600,0.71,1190644,London,Industrial,12.74,0.37,3.3,0.5,114455.37,4.29,62.65,0.86
2233,0.81,550529,Toronto,Commercial,7.95,0.43,10.24,0.39,164229.95,8.62,74.03,0.36
2752,0.6,966364,New York,Industrial,7.94,0.1,13.44,0.82,71030.66,1.51,54.58,0.32
1110,0.63,241445,London,Industrial,5.52,0.13,13.54,0.67,123709.07,2.79,52.37,0.52
984,0.96,1265679,New York,Commercial,7.79,0.1,14.45,0.49,111647.77,0.93,59.88,0.05
1004,0.88,304605,New York,Mixed-use,8.18,0.49,13.28,0.67,106688.53,2.11,60.19,0.95
2600,0.93,283047,San Francisco,Mixed-use,9.34,0.29,2.03,0.73,136451.69,2.39,101.81,0.14
3356,0.85,889217,San Francisco,Industrial,4.55,0.16,6.94,0.62,114634.48,9.18,93.29,0.9
2268,0.29,329768,Toronto,Mixed-use,10.52,0.09,12.64,0.49,69376.17,0.78,44.96,0.08
2060,0.32,764029,Sydney,Industrial,7.9,0.27,6.76,0.53,80290.77,4.27,41.05,0.82
4236,0.62,1223051,New York,Mixed-use,8.52,0.15,9.82,0.64,138050.67,5.32,68.71,0.15
3324,0.4,590370,Sydney,Industrial,6.45,0.45,9.88,0.63,79069.3,8.99,98.67,0.04
4778,0.58,606570,Toronto,Mixed-use,4.68,0.45,6.75,0.78,138720.53,9.98,79.99,0.72
2648,0.52,769984,New York,Residential,7.18,0.23,13.76,0.56,123119.34,7.53,69.51,0.28
4746,0.64,300972,New York,Commercial,7.47,0.25,8.54,0.46,115742.89,9.71,63.16,0.71
1316,0.8,1291353,Sydney,Residential,3.54,0.55,8.04,0.99,117963.15,7.87,86.16,0.56
2423,0.77,288944,London,Commercial,8.98,0.43,14.97,0.63,132868.95,9.63,72.67,0.11
2681,0.62,1072382,San Francisco,Commercial,9.49,0.44,8.42,0.73,90562.85,7.07,95.98,0.93
4019,0.86,1365016,London,Industrial,5.18,0.44,4.32,0.68,121057.28,0.8,44.68,0.45
2174,0.54,808342,Sydney,Commercial,4.44,0.08,8.67,0.63,91512.43,4.02,76.35,0.73
849,0.92,1441303,San Francisco,Residential,6.24,0.1,12.58,0.57,124091.12,6.47,61.55,0.5
1273,0.26,87461,London,Residential,7.06,0.12,12.1,0.18,136161.92,3.51,76.21,0.6
2765,0.96,876948,San Francisco,Mixed-use,6.34,0.3,12.25,0.44,124148.65,2.73,73.76,0.3
1370,0.72,552501,New York,Residential,6.85,0.35,11.2,0.65,135215.05,5.77,77.64,0.2
4562,0.5,1277162,London,Mixed-use,7.55,0.19,5.3,0.19,102499.63,9.34,84.66,0.54
4963,0.36,1126161,San Francisco,Commercial,3.58,0.6,13.21,0.61,118445.5,0.35,90.85,0.44
2584,0.58,463395,San Francisco,Residential,3.87,0.14,13.61,0.7,114050.6,7.69,99.28,0.39
1677,0.36,574178,San Francisco,Commercial,0.19,0.58,4.52,0.72,112414.02,7.23,70.24,0.67
835,0.33,311496,London,Residential,9.36,0.08,3.7,0.69,99983.97,9.64,61.86,0.69
988,0.69,772148,Toronto,Residential,7.04,0.27,14.68,0.74,109204.44,9.31,51.61,0.05
3637,0.62,640315,London,Mixed-use,9.62,0.05,13.29,0.84,92182.39,7.62,76.52,0.34
2448,0.74,959979,Sydney,Commercial,4.16,0.06,13.61,0.76,77646.13,5.2,82.52,0.41
3414,0.94,253921,London,Residential,7.06,0.48,13.52,0.63,102482.08,2.04,49.77,0.1
3974,0.63,753218,San Francisco,Industrial,7.54,0.26,9.04,0.58,135648.99,5.45,87.17,0.24
3878,0.66,683291,New York,Commercial,5.6,0.06,10.4,0.62,125851.65,7.65,68.48,0.05
1852,0.27,787755,London,Commercial,3.12,0.23,9.09,0.56,88584.92,8.96,51.16,1.0
4581,0.77,644046,London,Commercial,11.36,0.12,2.67,0.77,109849.72,7.9,57.28,0.74
2722,0.52,396456,San Francisco,Mixed-use,10.5,0.74,11.69,0.69,137311.61,1.95,55.85,0.09
2750,0.98,1459390,New York,Industrial,6.05,0.52,8.57,0.54,108787.72,6.0,56.12,0.02
1929,0.86,1114262,New York,Commercial,8.28,0.65,10.42,0.8,84555.85,3.32,78.55,0.72
1958,0.62,162279,Sydney,Residential,5.79,0.41,8.53,0.56,176440.71,0.09,82.96,0.44
3082,0.3,95434,London,Residential,4.51,0.37,8.39,0.46,115826.03,2.0,95.49,0.79
2617,0.89,799407,New York,Mixed-use,11.57,0.15,4.23,0.6,90910.53,1.13,59.53,0.92
1931,0.84,520991,New York,Residential,2.86,0.03,5.62,0.48,124281.59,8.43,75.14,0.6
4944,0.35,417913,Toronto,Commercial,6.29,0.35,4.07,0.74,117859.92,2.59,60.29,0.19
4861,0.44,408821,Toronto,Residential,7.21,0.43,4.54,0.47,81463.05,2.85,70.3,0.78
1958,0.83,163555,New York,Commercial,11.13,0.35,14.65,0.58,122334.22,9.6,47.79,0.96
3777,0.35,256806,Sydney,Residential,9.24,0.52,3.99,0.74,144593.39,3.79,53.15,0.58
2728,0.93,513819,New York,Industrial,2.82,0.18,5.5,0.49,114177.24,0.1,82.05,0.68
2780,0.54,1079430,San Francisco,Mixed-use,6.99,0.29,9.68,0.66,68495.04,2.84,47.75,0.34
737,0.27,148803,London,Mixed-use,7.05,0.1,9.93,0.45,128548.04,1.19,79.22,0.38
4072,0.85,887744,Sydney,Industrial,6.43,0.3,4.0,0.64,135072.5,1.03,59.86,0.73
3432,0.5,828736,San Francisco,Industrial,8.55,0.49,12.32,0.69,105339.7,0.77,41.12,0.93
4179,0.62,779539,Sydney,Mixed-use,3.48,0.3,12.21,0.59,105523.46,5.93,31.92,0.63
3631,0.29,325404,San Francisco,Industrial,5.98,0.25,5.09,0.61,176446.41,1.89,91.95,0.79
4764,0.2,722249,London,Commercial,8.2,0.18,5.75,0.67,103544.64,3.61,41.42,0.17
3193,0.71,1431099,London,Residential,8.7,0.41,14.19,0.56,91952.98,8.62,69.03,0.21
4900,0.61,97297,Toronto,Mixed-use,7.37,0.16,12.73,0.73,120627.85,4.24,75.31,0.53
4418,0.67,868443,San Francisco,Industrial,6.28,0.54,11.07,0.81,134371.06,9.16,50.3,0.18
4738,0.83,1248810,Toronto,Commercial,6.7,0.66,3.07,0.46,133310.84,4.98,61.7,0.63
4423,0.72,648302,San Francisco,Mixed-use,8.85,0.14,7.44,0.87,58298.31,3.99,77.18,0.29
4642,0.34,1009242,Toronto,Industrial,7.08,0.19,9.27,0.55,103481.71,7.5,74.4,0.79
2506,0.49,1307146,London,Mixed-use,4.4,0.1,4.44,0.9,148822.2,0.73,63.09,0.81
1360,0.92,863152,Sydney,Industrial,3.92,0.47,7.83,0.56,128167.24,0.89,73.55,0.46
4045,0.82,877552,Toronto,Mixed-use,3.28,0.07,9.81,0.71,89105.21,6.52,68.47,0.18
1499,0.65,1413572,San Francisco,Commercial,10.64,0.27,6.26,0.71,151060.23,4.87,55.44,0.65
3547,0.4,1469959,San Francisco,Commercial,9.02,0.11,12.15,0.54,144122.44,7.9,88.01,0.99
2319,0.44,591603,London,Residential,6.73,0.35,12.93,0.61,112584.96,9.16,73.11,0.62
880,0.79,695863,San Francisco,Mixed-use,5.87,0.43,6.21,0.82,141986.68,3.88,42.37,0.04
3866,0.88,1123659,New York,Residential,5.57,0.29,12.9,0.55,169993.9,5.96,77.83,0.02
2487,0.74,587365,Sydney,Mixed-use,9.73,0.03,3.35,0.54,93640.5,5.01,60.77,0.32
3866,0.85,1277086,Toronto,Industrial,11.76,0.35,12.89,0.43,133886.15,9.82,65.66,0.2
1266,0.81,1308163,Sydney,Industrial,5.49,0.03,3.99,0.84,169648.62,8.31,70.12,0.81
4788,0.32,1102788,London,Residential,9.85,0.25,3.08,0.53,136325.74,9.12,58.11,0.84
1271,0.54,908791,Toronto,Mixed-use,7.07,0.31,10.34,0.78,101140.43,2.54,97.05,0.26
2569,0.32,440890,Toronto,Residential,6.47,0.1,8.14,0.51,125972.83,7.73,47.6,0.33
4756,0.39,829122,New York,Commercial,10.76,0.16,13.8,0.78,154247.08,2.65,70.85,0.24
3722,0.9,725194,London,Residential,6.97,0.33,6.72,0.72,94605.84,2.09,75.72,0.91
4500,0.58,281260,San Francisco,Residential,7.74,0.62,5.73,0.57,119247.58,9.44,70.62,0.5
1123,0.63,857881,New York,Industrial,7.62,0.6,8.51,0.49,113912.93,0.19,67.14,0.66
2993,0.34,913525,New York,Residential,2.94,0.26,7.93,0.5,104214.71,9.65,64.34,0.42
3717,0.45,1331775,Sydney,Mixed-use,7.72,0.24,6.48,0.5,126038.87,1.49,57.95,0.63
3193,0.38,456794,Sydney,Industrial,5.59,0.1,11.02,0.76,117482.07,8.19,57.69,0.39
2568,0.36,1016197,Sydney,Residential,3.45,0.12,11.87,0.62,136083.75,2.76,87.38,0.34
2353,0.71,463100,New York,Commercial,5.71,0.26,13.09,0.43,148524.24,3.51,63.37,0.63
2896,0.41,195598,San Francisco,Residential,5.69,0.5,14.65,0.56,88179.24,2.17,101.98,0.59
2861,0.71,330100,Toronto,Residential,9.57,0.29,5.47,0.58,121688.28,5.86,80.03,0.29
2886,0.25,862877,Sydney,Residential,4.34,0.16,11.31,0.28,118671.85,3.48,29.99,0.15
4802,0.31,788521,San Francisco,Industrial,5.03,0.15,7.13,0.57,125085.37,6.57,83.25,0.37
3478,0.42,856676,London,Mixed-use,7.59,0.2,10.8,0.71,119613.23,0.16,69.2,0.42
4743,0.68,213241,Sydney,Commercial,3.69,0.14,8.19,0.58,95483.43,0.64,49.15,0.63
4244,0.74,1281700,Toronto,Residential,5.35,0.1,14.92,0.64,156368.74,1.0,89.56,0.91
2655,0.55,1333499,London,Mixed-use,2.84,0.13,11.48,0.67,167019.03,4.19,63.46,0.04
1876,0.56,88036,London,Mixed-use,9.3,0.26,14.38,0.55,133672.24,8.15,62.19,0.24
3366,0.78,1025238,Toronto,Industrial,6.25,0.08,12.85,0.71,134952.54,8.88,75.63,0.19
902,0.21,1282821,Sydney,Commercial,6.96,0.05,13.74,0.82,123276.23,2.45,87.14,0.5
1238,0.47,1063825,New York,Industrial,9.29,0.3,12.59,0.37,144230.08,5.74,71.7,0.43
655,0.85,282747,Toronto,Mixed-use,5.19,0.24,7.97,0.55,58921.37,7.68,70.63,0.73
1125,0.68,623088,Toronto,Mixed-use,6.22,0.46,5.27,0.95,119903.44,2.89,59.55,0.24
4723,0.47,1416092,Toronto,Mixed-use,4.36,0.56,6.81,0.63,105684.32,4.09,86.89,0.59
2725,0.92,1452236,London,Industrial,4.35,0.14,2.26,0.59,123645.45,5.24,71.85,0.88
3887,0.82,930350,San Francisco,Commercial,4.7,0.35,8.81,0.56,147315.69,1.35,66.62,0.91
964,0.41,1012477,New York,Residential,5.77,0.08,8.57,0.79,120475.85,0.26,64.76,0.96
2246,0.72,1461875,Sydney,Industrial,6.04,0.12,8.83,0.46,110987.69,1.53,85.4,0.77
1518,0.68,835600,Sydney,Mixed-use,7.72,0.28,14.66,0.74,84918.22,6.27,66.07,0.91
3397,0.52,1188076,San Francisco,Industrial,4.77,0.32,13.85,0.56,117268.09,0.74,85.44,0.23
2131,0.49,247647,Toronto,Mixed-use,7.8,0.1,4.1,0.49,136806.94,1.9,62.93,0.2
3945,0.47,316527,New York,Residential,8.21,0.44,6.8,0.57,98972.8,3.38,80.83,0.01
2506,0.69,515477,Sydney,Residential,5.83,0.52,7.51,0.59,69916.5,0.78,73.11,0.71
3686,0.55,632004,Sydney,Commercial,4.99,0.25,6.69,0.53,176856.0,1.92,55.74,0.94
2675,0.87,82352,Toronto,Mixed-use,7.21,0.1,12.38,0.77,128379.39,9.11,68.7,0.19
1313,0.74,213004,San Francisco,Commercial,6.49,0.05,8.81,0.49,114460.66,0.19,37.14,0.64
1662,0.26,942881,New York,Commercial,7.55,0.82,9.44,0.62,154774.87,6.53,58.84,0.75
2576,0.71,866261,San Francisco,Residential,10.92,0.06,13.09,0.68,123536.98,3.84,46.33,0.93
1896,0.42,1477556,San Francisco,Industrial,7.17,0.05,12.48,0.62,153300.8,6.73,99.96,0.65
725,0.67,740858,New York,Industrial,5.4,0.22,3.72,0.72,151159.03,5.89,46.51,0.97
4196,0.74,811478,New York,Commercial,4.77,0.18,11.28,0.53,88136.98,2.23,108.79,0.34
3883,0.38,130098,Sydney,Residential,4.87,0.2,7.66,0.69,131499.87,8.47,77.71,0.35
2203,0.57,1061890,Sydney,Mixed-use,3.34,0.16,5.83,0.7,163132.14,4.92,62.22,0.54
666,0.35,454313,New York,Industrial,9.33,0.66,2.65,0.75,95033.73,8.23,82.1,0.38
832,0.24,744929,London,Commercial,1.42,0.65,8.33,0.32,95340.64,4.06,60.33,0.0
2756,0.5,327199,Sydney,Industrial,8.22,0.43,6.62,0.68,99569.97,9.85,48.86,0.73
1769,0.49,206060,London,Industrial,4.83,0.44,5.27,0.74,142260.46,7.7,71.19,0.75
2758,1.0,1316530,New York,Mixed-use,5.72,0.38,11.03,0.54,127109.64,9.66,80.5,0.75
4806,0.56,210544,Sydney,Residential,4.76,0.16,12.0,0.52,71605.69,5.14,89.18,0.35
2093,0.47,604628,San Francisco,Mixed-use,10.61,0.14,5.18,0.49,128523.65,4.74,77.47,0.52
4607,0.66,779309,New York,Residential,7.04,0.32,2.64,0.45,113702.13,7.55,62.06,0.36
3072,0.27,686590,Toronto,Industrial,8.98,0.09,13.03,0.7,117193.1,8.8,90.79,0.02
3260,0.97,1059947,London,Commercial,10.25,0.32,2.13,0.94,99074.5,9.64,87.44,0.56
3339,0.71,827028,New York,Mixed-use,7.41,0.37,14.18,0.52,128706.46,3.25,74.04,0.12
2361,0.8,547243,New York,Residential,4.01,0.08,10.16,0.53,146261.46,7.99,88.16,0.08
4114,0.34,604426,Sydney,Industrial,6.45,0.17,6.18,0.6,103950.84,2.11,102.77,0.76
2575,0.53,473574,Sydney,Residential,5.14,0.25,5.2,0.36,77938.6,5.46,61.85,0.01
2962,0.54,548466,Sydney,Residential,5.74,0.13,2.12,0.5,112422.14,1.8,56.5,0.96
1476,0.86,951808,Toronto,Residential,6.76,0.07,5.06,0.59,138907.17,3.47,61.41,0.52
4412,0.2,236951,Sydney,Industrial,6.66,0.13,3.79,0.47,109474.24,9.31,49.76,0.98
4048,0.44,947964,New York,Commercial,8.03,0.72,9.96,0.78,82561.28,1.46,78.87,0.06
1912,0.98,922210,Sydney,Commercial,8.39,0.16,4.17,0.41,139081.07,6.32,45.85,0.58
2060,0.58,642060,San Francisco,Commercial,6.66,0.63,8.87,0.74,155383.7,5.93,88.98,0.35
3309,0.51,1187054,Sydney,Residential,8.01,0.33,9.67,0.82,120500.39,1.21,59.92,0.84
2924,0.3,631050,Toronto,Industrial,5.63,0.45,5.87,0.66,79855.23,3.26,90.38,0.36
2333,0.98,1272931,San Francisco,Residential,10.29,0.23,2.46,0.58,112054.24,5.63,31.64,0.26
2205,0.22,774780,New York,Commercial,5.59,0.47,2.48,0.64,123788.47,1.87,64.22,0.86
3163,0.79,922000,New York,Commercial,9.99,0.12,2.34,0.53,99757.17,8.01,50.6,0.37
4021,0.81,951522,London,Industrial,3.31,0.44,11.61,0.29,134584.31,9.72,90.3,0.02
4117,0.39,923601,San Francisco,Residential,6.05,0.2,6.13,0.45,97313.47,2.15,95.19,0.39
2997,0.74,679253,London,Mixed-use,6.17,0.19,12.35,0.6,120640.69,1.87,34.84,0.65
4335,0.27,257912,San Francisco,Mixed-use,7.7,0.25,7.61,0.46,114291.95,4.55,82.99,0.25
3470,0.41,255767,San Francisco,Commercial,9.15,0.39,7.89,0.54,135396.37,7.48,86.03,0.43
1760,0.83,316281,Toronto,Industrial,3.88,0.09,8.67,0.67,119643.27,2.82,74.89,0.06
842,0.89,164754,London,Residential,4.23,0.12,11.27,0.62,115087.71,0.2,78.82,0.59
3190,0.69,682276,Toronto,Residential,3.5,0.26,5.56,0.76,99928.37,5.41,77.74,0.76
1663,0.61,587732,San Francisco,Commercial,10.3,0.37,3.58,0.64,120869.23,9.57,83.04,0.41
4924,0.33,230023,New York,Commercial,7.74,0.35,9.23,0.65,113494.81,3.91,53.61,0.42
3195,0.25,160388,San Francisco,Residential,4.29,0.19,6.25,0.49,98236.74,4.2,88.01,0.09
1519,0.29,319779,Toronto,Residential,5.89,0.37,7.75,0.4,123987.28,9.69,73.14,0.2
605,0.38,958453,London,Commercial,9.95,0.39,10.41,0.54,129099.28,6.95,72.24,0.15
1067,0.47,984850,London,Residential,6.3,0.17,8.42,0.49,111539.82,7.19,78.5,0.48
4770,0.5,286846,Toronto,Mixed-use,6.16,0.29,10.06,0.57,143289.23,5.63,50.94,0.53
603,0.48,774335,London,Commercial,5.05,0.21,9.07,0.44,126599.36,9.75,46.7,0.95
1245,0.39,1115354,Sydney,Residential,4.44,0.39,11.62,0.73,87903.65,6.89,68.18,0.07
717,0.61,1260788,New York,Commercial,9.96,0.09,11.18,0.49,153434.85,8.95,93.15,0.6
3528,0.86,868140,New York,Industrial,11.18,0.17,8.94,0.55,139174.7,6.99,52.22,0.53
3151,0.42,1287956,New York,Commercial,4.54,0.36,10.83,0.6,145045.78,7.35,72.63,0.52
4889,0.95,1173365,London,Commercial,10.51,0.36,13.36,0.77,130012.57,2.9,59.25,0.87
1446,0.9,106086,London,Industrial,5.78,0.19,7.62,0.86,61556.82,3.03,57.24,0.21
3362,0.33,1407579,San Francisco,Mixed-use,8.33,0.12,7.37,0.87,147315.46,7.83,77.51,0.04
1741,0.83,611972,San Francisco,Residential,10.53,0.29,11.94,0.41,121519.69,2.97,81.39,0.67
2410,0.66,1219664,New York,Industrial,6.64,0.35,9.57,0.54,128830.48,5.63,58.19,0.35
1323,0.65,474423,Sydney,Commercial,6.18,0.19,2.92,0.52,133509.6,2.49,90.81,0.02
824,0.51,670381,San Francisco,Residential,9.0,0.18,13.6,0.66,168406.93,8.17,76.34,0.25
4808,0.6,1289337,San Francisco,Industrial,4.23,0.36,2.4,0.65,106344.41,1.11,66.37,0.31
2648,0.52,915083,London,Residential,9.87,0.47,11.73,0.51,106989.93,8.29,75.21,0.62
2173,0.63,1253650,Sydney,Residential,7.36,0.38,11.86,0.5,98724.14,6.03,100.55,0.17
2428,0.7,969497,New York,Industrial,5.56,0.18,14.39,0.45,93251.44,1.87,81.3,0.41
2517,0.74,210351,San Francisco,Residential,5.49,0.18,2.7,0.2,93711.72,5.42,59.52,0.48
4834,0.63,118635,Sydney,Mixed-use,3.54,0.18,9.76,0.41,73705.88,2.82,69.72,0.46
2626,0.78,1053619,Sydney,Industrial,5.66,0.18,7.56,0.73,130666.4,3.23,71.97,0.97
4344,0.31,1223647,New York,Mixed-use,6.34,0.11,6.3,0.82,169695.16,3.52,79.98,0.05
1501,0.37,1075909,Sydney,Commercial,4.35,0.35,3.17,0.8,171289.36,0.63,73.59,0.95
2639,0.85,944950,Sydney,Residential,6.89,0.27,9.31,0.74,98690.8,9.86,98.43,0.58
609,0.46,1496953,Sydney,Commercial,8.18,0.4,8.23,0.45,113196.14,0.32,66.6,0.8
860,0.22,970083,San Francisco,Commercial,6.47,0.16,3.36,0.42,150833.55,6.62,44.05,0.43
2273,0.32,677093,New York,Residential,8.66,0.26,9.96,0.33,130808.67,3.71,73.22,0.45
2819,0.38,501280,Sydney,Industrial,4.98,0.29,11.59,0.51,123362.89,6.46,63.38,0.88
2660,0.97,989245,Sydney,Residential,9.51,0.07,11.97,0.61,113581.64,3.56,47.44,0.9
4313,0.66,421207,San Francisco,Commercial,7.3,0.37,13.77,0.45,149457.54,6.74,59.45,0.24
2219,0.95,1393174,New York,Commercial,10.86,0.54,7.32,0.66,93173.73,7.29,64.62,0.2
920,0.66,1411598,London,Industrial,13.04,0.26,14.39,0.7,132021.88,6.91,87.1,0.5
1942,0.58,1310746,San Francisco,Residential,5.82,0.42,13.25,0.53,128623.35,1.14,47.75,0.9
2976,0.45,273226,New York,Commercial,5.93,0.06,5.85,0.4,121084.3,6.57,75.25,0.32
3432,0.69,1272639,Sydney,Mixed-use,6.38,0.31,4.07,0.81,139693.24,2.8,103.31,0.65
3424,0.31,672632,New York,Commercial,8.49,0.09,7.66,0.61,120843.43,0.29,67.38,0.71
2594,0.92,640881,New York,Commercial,10.31,0.69,7.22,0.89,106636.81,4.15,66.94,0.78
3558,0.86,640592,New York,Industrial,5.37,0.08,9.48,0.61,122312.78,4.34,80.8,0.56
2638,0.45,1242189,London,Mixed-use,7.95,0.08,9.58,0.62,80197.41,4.67,77.83,0.4
4090,0.96,494299,New York,Commercial,6.66,0.22,11.75,0.46,135317.87,7.05,91.26,0.97
4277,0.86,364334,London,Commercial,8.55,0.03,8.63,0.54,141705.73,3.09,67.49,0.61
1718,0.73,501614,Sydney,Mixed-use,10.77,0.23,3.36,0.37,103584.64,3.15,80.53,0.73
2204,0.3,1311619,London,Residential,6.4,0.2,13.16,0.4,97637.22,0.61,80.77,0.34
4627,0.58,1279151,Sydney,Residential,2.83,0.47,6.03,0.71,104506.21,6.87,64.97,0.67
835,0.6,205438,Sydney,Commercial,8.86,0.39,14.63,0.56,118424.43,5.68,68.29,0.26
2569,0.39,1102892,London,Commercial,4.92,0.17,3.53,0.54,125397.15,3.49,69.83,0.25
2508,0.26,874448,San Francisco,Residential,6.64,0.16,14.46,0.49,160387.3,7.05,51.43,0.71
975,0.82,344528,Toronto,Industrial,8.97,0.04,3.18,0.54,157227.28,5.37,64.17,0.52
4130,0.3,1321968,New York,Mixed-use,7.74,0.35,5.0,0.77,140788.57,4.69,92.44,0.68
3235,0.68,488288,Toronto,Mixed-use,6.75,0.29,2.61,0.62,123031.52,5.11,85.57,0.27
2170,0.95,182239,New York,Industrial,5.56,0.06,11.17,0.42,96826.9,6.36,61.3,0.6
3160,0.9,715719,New York,Industrial,-0.25,0.13,13.05,0.75,161990.93,6.6,69.76,0.44
3991,0.42,784293,Sydney,Industrial,8.75,0.51,7.64,0.86,113808.95,2.89,84.57,0.6
3565,0.88,888258,New York,Industrial,6.37,0.33,14.07,0.67,127034.35,1.41,76.65,0.29
4243,0.2,410170,New York,Industrial,10.78,0.43,9.67,0.73,135683.81,1.57,82.0,0.72
4450,0.21,201668,London,Industrial,8.0,0.33,10.19,0.78,121539.9,6.39,78.01,0.81
1472,0.68,846988,Toronto,Mixed-use,5.65,0.12,12.99,0.35,148777.43,8.73,73.23,0.26
1852,0.49,628333,London,Industrial,9.67,0.1,5.86,0.88,131384.8,4.09,67.51,0.3
1914,0.51,261948,New York,Residential,9.88,0.18,6.61,0.76,144715.96,1.7,52.07,0.66
3498,0.65,565662,Sydney,Industrial,6.45,0.08,13.78,0.67,131183.64,7.57,80.38,0.7
677,0.35,694390,London,Industrial,9.98,0.49,13.71,0.58,119052.51,8.32,66.67,0.7
3221,0.37,394063,London,Mixed-use,5.61,0.15,14.69,0.4,121854.64,8.81,45.28,0.68
4827,0.59,1286751,San Francisco,Mixed-use,7.4,0.17,13.72,0.55,118443.99,6.07,61.82,0.39
1200,0.8,329877,New York,Industrial,8.43,0.39,3.66,0.67,87892.85,8.61,82.78,0.39
1665,0.7,1033692,Sydney,Mixed-use,8.96,0.22,12.71,0.43,94979.51,0.15,41.26,0.25
2736,0.44,1265493,London,Commercial,8.55,0.41,7.33,0.59,138513.69,1.07,54.56,0.16
3049,0.54,297770,London,Mixed-use,6.17,0.13,14.88,0.42,88515.72,0.93,72.06,0.69
2943,0.34,722613,Sydney,Mixed-use,9.73,0.19,8.14,0.54,109894.42,7.13,91.09,0.09
2463,0.26,757673,New York,Mixed-use,6.69,0.19,9.2,0.4,93747.41,0.7,85.0,0.94
1918,0.83,1024447,San Francisco,Mixed-use,5.58,0.44,8.89,0.38,108557.03,4.96,92.52,0.83
4197,0.41,420093,London,Residential,5.61,0.34,6.18,0.65,116118.27,4.73,73.12,0.86
4362,0.34,1441871,San Francisco,Residential,11.85,0.1,2.98,0.51,109844.16,3.11,66.86,0.91
2790,0.75,1102145,Toronto,Residential,5.15,0.12,13.64,0.53,84290.89,8.7,82.65,0.41
1592,0.69,685730,New York,Industrial,10.23,0.44,12.43,0.5,115361.74,1.7,56.51,0.85
3312,0.71,1178423,Toronto,Industrial,4.16,0.15,3.81,1.01,96027.6,3.52,55.34,0.16
2792,0.38,1187229,Toronto,Commercial,8.22,0.25,12.1,0.69,104086.07,7.74,52.67,0.02
1848,0.39,398766,Toronto,Residential,7.74,0.62,10.14,0.71,138513.0,0.3,86.33,0.78
3654,0.38,1418530,New York,Industrial,11.05,0.66,7.32,0.48,143884.82,6.73,57.48,0.07
4633,0.34,1206418,New York,Mixed-use,5.36,0.59,5.3,0.68,87225.73,8.16,85.01,0.99
2597,0.72,352647,Sydney,Mixed-use,4.67,0.25,13.18,0.57,159216.65,9.32,72.23,0.67
4287,0.88,164761,San Francisco,Residential,6.71,0.37,11.1,0.48,107247.84,8.76,86.53,0.75
2751,0.78,878022,San Francisco,Commercial,11.16,0.36,9.12,0.89,104974.75,3.19,53.42,0.25
4618,0.83,746246,Sydney,Commercial,4.79,0.16,9.92,0.69,97708.63,5.86,60.62,0.67
